source_id	page_id	revision_id	revision_timestamp	revision_sha1	title	canonical_url	revision_url	acquisition_rows	disposition
wiki:fextralife:page-25068:revision-756708	25068	756708	2026-08-21T21:09:44Z	a5b8b401a1f8f0a2f4c4685d9dd5190bcca16e1a	Shadow Realm Rune (4)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(4)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(4)?oldid=756708	6	lead_only
wiki:fextralife:page-25075:revision-756709	25075	756709	2026-08-21T21:09:45Z	33feefde9ce98752920b02e4ed20c26018d75861	Shadow Realm Rune (5)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(5)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(5)?oldid=756709	8	lead_only
wiki:fextralife:page-25090:revision-756711	25090	756711	2026-08-21T21:09:47Z	7d28cea00e5b5339abb35543aeca207503b7684e	Shadow Realm Rune (7)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(7)	https://eldenring.wiki.fextralife.com/Shadow_Realm_Rune_(7)?oldid=756711	6	lead_only
wiki:fextralife:page-25098:revision-757286	25098	757286	2026-08-21T21:21:14Z	f00859809d5bdd3bb64a1085541c3266c1789654	Shadow Sunflower	https://eldenring.wiki.fextralife.com/Shadow_Sunflower	https://eldenring.wiki.fextralife.com/Shadow_Sunflower?oldid=757286	14	lead_only
wiki:fextralife:page-25360:revision-757573	25360	757573	2026-08-21T21:26:52Z	444966d649211b538799cc59244c2d40d0788065	Shattershard Arrow (Fletched)	https://eldenring.wiki.fextralife.com/Shattershard_Arrow_(Fletched)	https://eldenring.wiki.fextralife.com/Shattershard_Arrow_(Fletched)?oldid=757573	8	lead_only
wiki:fextralife:page-25391:revision-756712	25391	756712	2026-08-21T21:09:48Z	e8e5dc1447583828969bcd871ade03ce87d4b6ba	Shield Grease	https://eldenring.wiki.fextralife.com/Shield_Grease	https://eldenring.wiki.fextralife.com/Shield_Grease?oldid=756712	9	lead_only
wiki:fextralife:page-25470:revision-757201	25470	757201	2026-08-21T21:19:35Z	c659fe7386f26386b6da6be2bd07c39cb0da392a	Perfume Bottle	https://eldenring.wiki.fextralife.com/Perfume_Bottle	https://eldenring.wiki.fextralife.com/Perfume_Bottle?oldid=757201	20	lead_only
wiki:fextralife:page-25506:revision-757237	25506	757237	2026-08-21T21:20:17Z	631ff6be0d034fcc8bdd072c90185e9ebc6d0515	Congealed Putrescence	https://eldenring.wiki.fextralife.com/Congealed_Putrescence	https://eldenring.wiki.fextralife.com/Congealed_Putrescence?oldid=757237	12	lead_only
wiki:fextralife:page-25519:revision-757229	25519	757229	2026-08-21T21:20:08Z	bff40236bbdcab1eb4ed624c6797fed14356b411	Beast Blood	https://eldenring.wiki.fextralife.com/Beast_Blood	https://eldenring.wiki.fextralife.com/Beast_Blood?oldid=757229	18	lead_only
wiki:fextralife:page-25648:revision-758123	25648	758123	2026-08-21T21:40:16Z	c08165f77fa4dbd618136f7af8265e09e1a609f2	Shining Horned Headband	https://eldenring.wiki.fextralife.com/Shining_Horned_Headband	https://eldenring.wiki.fextralife.com/Shining_Horned_Headband?oldid=758123	7	lead_only
